Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
PN LP-BUT MLT MSCC 2022-C3,PN LP-BUT MLT MSCC 2022-C3-L1,⭐ Piloter une activité logistique ou transport simple,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3,PN LP-BUT MLT MSCC 2022-C3-L2,⭐⭐ Piloter une activité logistique ou transport complexe,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3,PN LP-BUT MLT MSCC 2022-C3-L3,⭐⭐⭐ Piloter une chaine logistique,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4,PN LP-BUT MLT MSCC 2022-C4-L1,⭐ Participer au déploiement des solutions connectées simples,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4,PN LP-BUT MLT MSCC 2022-C4-L2,⭐⭐ Participer au déploiement des solutions connectées complexes,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L1,PN LP-BUT MLT MSCC 2022-C1-L1-P1,"Identifier les activités, les contraintes, les marchés...","<p>Identifier les activit&eacute;s, les contraintes, les march&eacute;s et leur environnement juridique et r&egrave;glementaire</p>",,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L1,PN LP-BUT MLT MSCC 2022-C1-L1-P2,Identifier les principaux éléments de coût d'une activité de transport,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L1,PN LP-BUT MLT MSCC 2022-C1-L1-P3,"Définir les moyens humains, matériels",,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L1,PN LP-BUT MLT MSCC 2022-C1-L1-P4,Définir les étapes de mise en oeuvre d'une opération,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L2,PN LP-BUT MLT MSCC 2022-C1-L2-P1,Définir la chronologie des opérations et établir des scénarii d'organisation,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L2,PN LP-BUT MLT MSCC 2022-C1-L2-P2,"Argumenter la pertinence et la faisabilité technique, commerciale et règlementaire des solutions",,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L2,PN LP-BUT MLT MSCC 2022-C1-L2-P3,Estimer les coûts et la rentabilité de la prestation,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C1-L2,PN LP-BUT MLT MSCC 2022-C1-L2-P4,Exploiter les informations comptables et financières,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L1,PN LP-BUT MLT MSCC 2022-C2-L1-P1,Identifier les fonctions et métiers de la chaîne logistique,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L1,PN LP-BUT MLT MSCC 2022-C2-L1-P2,Maîtriser les concepts de prévision de la demande,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L1,PN LP-BUT MLT MSCC 2022-C2-L1-P3,Schématiser les flux physiques et d'information,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L1,PN LP-BUT MLT MSCC 2022-C2-L1-P4,Dimensionner les différentes zones logistiques,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L2,PN LP-BUT MLT MSCC 2022-C2-L2-P1,Choisir une stratégie d'achat et d'approvisionnement,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L2,PN LP-BUT MLT MSCC 2022-C2-L2-P2,Planifier et ordonnancer la production,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L2,PN LP-BUT MLT MSCC 2022-C2-L2-P3,Choisir un modèle de distribution,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L2,PN LP-BUT MLT MSCC 2022-C2-L2-P4,Organiser l'activité des équipes et l'adéquation charge/ capacité,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L2,PN LP-BUT MLT MSCC 2022-C2-L2-P5,Cartographier les flux physiques et d'information,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L3,PN LP-BUT MLT MSCC 2022-C2-L3-P1,Modéliser les processus logistiques,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L3,PN LP-BUT MLT MSCC 2022-C2-L3-P2,"Définir les critères d'évaluation, leur pondération et arbitrer les solutions",,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L3,PN LP-BUT MLT MSCC 2022-C2-L3-P3,Intégrer les éléments d'un contrat logistique,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C2-L3,PN LP-BUT MLT MSCC 2022-C2-L3-P4,Organiser les flux logistiques internes et externes (amont et aval),,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L1,PN LP-BUT MLT MSCC 2022-C3-L1-P1,"Intégrer les dimensions sociales, commerciales, comptables et financières",,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L1,PN LP-BUT MLT MSCC 2022-C3-L1-P2,Mettre en oeuvre une démarche de projet,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L1,PN LP-BUT MLT MSCC 2022-C3-L1-P3,"Identifier les objectifs, les contraintes et les éléments de décision d'un plan d'action",,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L1,PN LP-BUT MLT MSCC 2022-C3-L1-P4,Compléter les supports de suivi d'activité avec les indicateurs pertinents existants,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L2,PN LP-BUT MLT MSCC 2022-C3-L2-P1,Adopter une démarche qualité,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L2,PN LP-BUT MLT MSCC 2022-C3-L2-P2,Contractualiser avec des prestataires internes ou externes ou avec des clients,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L2,PN LP-BUT MLT MSCC 2022-C3-L2-P3,Coordonner les différentes activités de la chaîne logistique et transport,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L2,PN LP-BUT MLT MSCC 2022-C3-L2-P4,"Intégrer la prévention, le management du risque et le traitement des litiges",,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L2,PN LP-BUT MLT MSCC 2022-C3-L2-P5,Élaborer et utiliser des outils de gestion,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L3,PN LP-BUT MLT MSCC 2022-C3-L3-P1,Formaliser des processus,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L3,PN LP-BUT MLT MSCC 2022-C3-L3-P2,Construire des outils d'aide à la décision,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L3,PN LP-BUT MLT MSCC 2022-C3-L3-P3,Manager les équipes et accompagner le changement,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C3-L3,PN LP-BUT MLT MSCC 2022-C3-L3-P4,Définir et mettre en oeuvre des plans d'amélioration,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L1,PN LP-BUT MLT MSCC 2022-C4-L1-P1,Analyser les besoins des acteurs et les données à exploiter nécessaires à la digitalisation,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L1,PN LP-BUT MLT MSCC 2022-C4-L1-P2,Identifier les enjeux et les risques des solutions digitales,"<p>Identifier les enjeux et les risques des solutions digitales en termes d'organisation, de s&eacute;curit&eacute; et de protection des informations</p>",,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L1,PN LP-BUT MLT MSCC 2022-C4-L1-P3,Effectuer une veille sur les technologies innovantes et la règlementation,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L1,PN LP-BUT MLT MSCC 2022-C4-L1-P4,"Alimenter, extraire et exploiter les données des applications métiers",,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L2,PN LP-BUT MLT MSCC 2022-C4-L2-P1,Étudier la pertinence des solutions digitales et leurs alternatives,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L2,PN LP-BUT MLT MSCC 2022-C4-L2-P2,Mesurer l'impact et l'apport des solutions digitales,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L2,PN LP-BUT MLT MSCC 2022-C4-L2-P3,Contribuer au paramétrage des applications métiers et à l'élaboration d'outils d'aide à la décision,,,,,,,,,,,
PN LP-BUT MLT MSCC 2022-C4-L2,PN LP-BUT MLT MSCC 2022-C4-L2-P4,Accompagner au changement dans le cadre de projets de digitalisation,,,,,,,,,,,
